time[sec],v1,v2[A],v3[A],v4[mV],v5[mV],v6[nA]
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.1,10.26,-58.8134765625,133.514404296875,21.700000000000003,2597.906650641025,38.909912109375
0.2,10.26,-59.619140625,130.462646484375,21.10000000000001,2566.60657051282,37.7655029296875
0.30000000000000004,12.92,-55.5908203125,128.5552978515625,20.5,2535.306490384615,37.0025634765625
0.4,17.86,-49.1455078125,128.936767578125,20.5,2472.7063301282046,36.62109375
0.5,22.8,-43.505859375,131.988525390625,21.10000000000001,2441.4062499999995,37.0025634765625
0.6,30.78,-33.837890625,138.092041015625,22.400000000000006,2347.506009615384,38.14697265625
0.7,40.28,-21.7529296875,147.6287841796875,24.5,2284.9058493589737,40.0543212890625
0.7999999999999999,52.44,-8.056640625,160.5987548828125,27.5,2222.3056891025635,42.724609375
0.8999999999999999,66.5,8.8623046875,177.3834228515625,31.5,2159.7055288461534,46.539306640625
0.9999999999999999,85.12,29.8095703125,197.601318359375,36.5,2097.105368589743,51.116943359375
1.0999999999999999,106.02,54.78515625,222.3968505859375,42.70000000000002,2034.5052083333328,56.0760498046875
1.2,133.0,84.5947265625,251.007080078125,49.900000000000006,1971.9050480769226,61.798095703125
1.3,165.3,121.6552734375,284.1949462890625,58.400000000000006,1909.3048878205122,68.2830810546875
1.4000000000000001,202.92000000000002,164.35546875,322.3419189453125,68.4,1846.704727564102,74.76806640625
1.5000000000000002,245.48,214.306640625,365.8294677734375,79.80000000000001,1784.104567307692,82.3974609375
1.6000000000000003,289.18,258.6181640625,415.4205322265625,92.9,1752.8044871794868,90.4083251953125
1.7000000000000004,332.88,306.15234375,471.8780517578125,108.30000000000001,1752.8044871794868,99.945068359375
1.8000000000000005,378.86,356.9091796875,535.9649658203125,125.80000000000001,1752.8044871794868,110.626220703125
1.9000000000000006,426.74,406.8603515625,608.4442138671875,145.3,1752.8044871794868,122.833251953125
2.0000000000000004,477.66,464.8681640625,689.3157958984375,167.10000000000002,1721.5044070512815,135.4217529296875
2.1000000000000005,532.0,523.681640625,779.3426513671875,191.40000000000003,1721.5044070512815,148.773193359375
2.2000000000000006,589.0,585.7177734375,879.669189453125,218.3,1721.5044070512815,162.506103515625
2.3000000000000007,650.1800000000001,652.587890625,990.6768798828125,248.5,1721.5044070512815,175.47607421875
2.400000000000001,715.54,725.9033203125,1114.2730712890625,282.1,1721.5044070512815,188.0645751953125
2.500000000000001,785.08,800.0244140625,1251.220703125,319.5,1752.8044871794868,199.89013671875
2.600000000000001,860.32,883.8134765625,1403.4271240234375,362.0,1721.5044070512815,209.808349609375
2.700000000000001,940.88,972.4365234375,1572.0367431640625,409.90000000000003,1752.8044871794868,218.5821533203125
2.800000000000001,1027.14,1065.087890625,1758.9569091796875,463.6,1721.5044070512815,224.6856689453125
2.9000000000000012,1118.34,1162.5732421875,1964.569091796875,523.3000000000001,1721.5044070512815,228.8818359375
3.0000000000000013,1215.24,1268.115234375,2188.873291015625,588.8000000000001,1752.8044871794868,230.40771484375
3.1000000000000014,1316.32,1377.685546875,2429.5806884765625,659.7,1721.5044070512815,229.2633056640625
